Country,Confirmed Cases,Recovered Cases,Deaths
Peru,363,1,5
Philippines,380,17,25
Pitcairn,,,
Poland,634,1,7
Portugal,1600,5,14
Puerto Rico,0,0,0
Qatar,494,33,0
Republic of the Congo,,,
Reunion,47,0,0
Romania,433,64,3
Russia,367,16,0
Rwanda,19,0,0
Saint Barthelemy,,,
Saint Helena,,,
Saint Kitts and Nevis,0,0,0
Saint Lucia,2,0,0
Saint Martin,0,0,0
Saint Pierre and Miquelon,,,
Saint Vincent and the Grenadines,1,0,0
Samoa,,,
San Marino,160,4,20
Sao Tome and Principe,,,
Saudi Arabia,511,16,0
Senegal,67,5,0
Serbia,222,1,2
Seychelles,7,0,0
Sierra Leone,,,
Singapore,455,144,2
Sint Maarten,0,0,0
Slovakia,185,7,1
Slovenia,414,0,2
Solomon Islands,,,
Somalia,1,0,0
South Africa,274,0,0
South Georgia and the South Sandwich Islands,,,
South Sudan,,,
Spain,28768,2575,1772
Sri Lanka,82,3,0
Sudan,2,0,1
Suriname,5,0,0
Svalbard and Jan Mayen,,,
Swaziland,,,
Sweden,1934,16,21
Switzerland,7245,131,98
Syria,1,0,0
Taiwan*,169,28,2
Tajikistan,,,
Tanzania,12,0,0
Thailand,599,44,1
Togo,16,1,0
Tokelau,,,
Tonga,,,
Trinidad and Tobago,50,1,0
Tunisia,75,1,3
Turkey,1236,0,30
Turkmenistan,,,
Turks and Caicos Islands,,,
Tuvalu,,,
U.S. Virgin Islands,,,
Uganda,1,0,0
Ukraine,73,1,3
United Arab Emirates,153,38,2
United Kingdom,5741,67,282
United States Minor Outlying Islands,,,
Uruguay,135,0,0
US,33276,178,417
Uzbekistan,43,0,0
Vanuatu,,,
Vatican,0,0,0
Venezuela,70,15,0
Vietnam,113,17,0
Wallis and Futuna,,,
Western Sahara,,,
Yemen,,,
Zambia,3,0,0
Zimbabwe,3,0,0
